"site_year","date","GPP.mean","GPP.2.5.pct","GPP.97.5.pct","GPP_Rhat","ER.mean","ER.2.5.pct","ER.97.5.pct","ER_Rhat","NEP.mean","NEP.2.5.pct","NEP.97.5.pct","K600_daily_mean","K600_daily_Rhat"
"sfkeel_mir_2023",2023-08-28,3.44684583446986,2.82816085521733,4.09219280670073,1.00043263532027,-4.17427274664338,-5.1793991360924,-3.19546773127741,1.00082156981544,-0.72742691217352,-2.35123828087506,0.896725075423318,1.90913260131424,1.00054494028356
"sfkeel_mir_2023",2023-08-29,3.0472068099879,2.43366353544099,3.6661916491615,1.00065509189619,-3.75946859578444,-4.74753974801531,-2.78813453217402,1.0013523942095,-0.712261785796542,-2.31387621257432,0.878057116987473,1.73678220960817,1.00387805306046
"sfkeel_mir_2023",2023-08-30,3.22395236798653,2.60696121942963,3.83568413584838,1.00101531319803,-3.69646578502039,-4.66065187865373,-2.74909230703317,1.00081305353719,-0.47251341703386,-2.0536906592241,1.08659182881521,1.59052407489357,1.00083682756718
"sfkeel_mir_2023",2023-08-31,2.93670890347955,2.33954282531353,3.5343799914094,1.00101139951701,-3.49812088209322,-4.43253866345539,-2.56941874684536,1.0009937888886,-0.561411978613673,-2.09299583814186,0.964961244564036,1.47521033302028,1.00535651171359
"sfkeel_mir_2023",2023-09-01,1.99951033116532,1.3950293481185,2.59985976812798,1.00055845762832,-3.836699776091,-4.84268202731853,-2.85291589482243,1.00031718629783,-1.83718944492568,-3.44765267920003,-0.25305612669445,1.61588912423845,1.00037565270759
"sfkeel_mir_2023",2023-09-02,2.85030592425425,2.2581137513875,3.44301255200703,1.00090450599739,-3.59910899521848,-4.53684054165162,-2.65408075557197,1.00063784668832,-0.748803070964223,-2.27872679026411,0.788931796435066,1.68695793523432,1.00184371751046
"sfkeel_mir_2023",2023-09-03,2.75296216855835,2.1618811150267,3.36131872996758,1.00054299161302,-3.85843780452671,-4.84991036490178,-2.89121659302151,1.00075984408724,-1.10547563596836,-2.68802924987507,0.470102136946073,1.84184377218344,1.00203151248247
"sfkeel_mir_2023",2023-09-04,2.61334384992677,1.99472996858852,3.22872969115816,1.00012347487017,-3.82648037664929,-4.78750694757177,-2.86111172844818,1.00046242907881,-1.21313652672252,-2.79277697898325,0.367617962709974,1.91866965237576,1.00174374448582
"sfkeel_mir_2023",2023-09-05,2.74801157145625,2.11892130730012,3.38059967744526,1.00049323479242,-3.92065645367709,-4.93588616247447,-2.90528467422389,1.00059776652345,-1.17264488222084,-2.81696485517435,0.475315003221372,2.0006529317678,1.00054992937381
"sfkeel_mir_2023",2023-09-06,2.69899953954493,2.07492676775749,3.31313809232191,1.00004641439109,-3.84504148743389,-4.83009940736498,-2.86613324696935,1.00003531354482,-1.14604194788896,-2.75517263960749,0.447004845352557,1.91137535325555,1.00151657607644
"sfkeel_mir_2023",2023-09-07,2.59353568464498,1.96901719440484,3.21747037342857,1.00102512428096,-3.7218875915934,-4.70615613857659,-2.72036793987931,1.00116481329709,-1.12835190694843,-2.73713894417175,0.49710243354926,1.85681132199845,1.00147408485452
"sfkeel_mir_2023",2023-09-08,2.48466077979329,1.88577183259368,3.10389084838612,1.00161217689049,-3.61583062675607,-4.58952285871711,-2.66294039705492,1.00143470983891,-1.13116984696277,-2.70375102612343,0.440950451331199,1.80690229418895,1.00190713768781
"sfkeel_mir_2023",2023-09-09,2.31143790850961,1.70376754364386,2.91593618002446,1.00004450102655,-3.41867685993329,-4.39283961068153,-2.43843765696601,1.00008364407492,-1.10723895142368,-2.68907206703766,0.477498523058447,1.8557505519827,1.00127847171272
"sfkeel_mir_2023",2023-09-10,2.43599244499659,1.8362188063906,3.04017797333747,1.00038751642598,-3.57056883592699,-4.54077929428264,-2.60033813110631,1.00007387784241,-1.1345763909304,-2.70456048789204,0.439839842231157,1.76599046794388,1.00156498050549
"sfkeel_mir_2023",2023-09-11,2.34691423590951,1.74642091212552,2.94911328368569,1.00007137389041,-3.43828720426615,-4.40843256273003,-2.47220592209149,1.00046628264656,-1.09137296835664,-2.66201165060451,0.476907361594198,1.73644445899219,1.00318890975258
"sfkeel_mir_2023",2023-09-12,2.55757941621438,1.95682877153509,3.15634797250807,1.00008185506427,-3.55672363700985,-4.50977480486974,-2.60745975935469,1.00002056688471,-0.999144220795471,-2.55294603333464,0.54888821315338,1.69984301458832,1.00265697457337
"sfkeel_mir_2023",2023-09-13,2.430600134828,1.84002444252534,3.01921608732665,1.00021582282398,-3.47278673792369,-4.4133203104165,-2.51039615415751,1.00022837568967,-1.0421866030957,-2.57329586789115,0.508819933169136,1.64234293466748,1.00341195414443
